"ind_ID";"ind_gender";"ind_age";"ind_edu";"ind_happy";"ind_atwork";"ind_income";"hh_pos";"hh_nadult";"hh_nchild";"hh_income";"health_fys";"health_emo";"leis_time"
28311;2;56;3;48;1;1900;1;1;0;1900;8;42;4
28312;1;68;1;67;0;1400;2;2;0;2700;100;92;30
28313;1;44;3;42;0;1250;1;1;0;1250;15;82;55
28402;2;47;1;55;0;800;2;2;1;2714;35;60;40
28403;1;40;2;77;1;2100;2;2;2;4254;100;87;15
28406;1;69;3;95;0;1800;2;2;0;2600;90;92;50
28408;1;62;3;72;0;1200;2;2;0;2700;93;85;66
28409;1;39;3;87;1;1600;2;2;2;3657;100;80;10
28411;1;36;3;59;1;1700;2;2;2;4057;3;52;25
28412;1;45;2;57;0;1020;2;2;0;1020;4;73;60
28501;1;30;3;70;1;1750;1;1;0;1750;23;57;20
28507;2;45;2;76;1;2000;1;1;1;2106;100;75;28
28603;1;47;2;47;1;1800;2;2;2;5573;97;80;5
28605;2;78;2;69;0;1990;1;1;0;1990;23;75;3
28609;1;51;3;77;1;1650;2;3;0;3150;69;72;30
28612;1;52;1;51;1;3100;1;2;0;3517;48;28;10
28613;2;65;2;36;0;1300;2;2;0;4200;78;57;20
28703;2;42;2;66;1;1800;1;1;3;2410;100;73;24
28704;1;66;1;71;0;1600;2;2;0;2450;100;92;30
28707;2;75;1;86;0;1800;2;2;0;3000;89;92;14
28708;1;36;2;71;1;1850;2;2;1;3356;93;92;10
28709;2;48;3;82;1;2200;2;4;0;4900;19;63;18
28712;2;76;2;56;0;1121;2;2;0;2351;-;-;45
28713;2;77;1;90;0;1136;2;2;0;2682;90;93;28
28802;1;31;2;63;1;2100;2;2;1;3990;45;73;3
28804;1;25;-;55;0;800;2;2;1;2390;73;78;21
28806;1;51;2;73;1;2500;2;4;0;4618;93;93;5
28809;2;44;3;85;1;2180;2;2;2;5109;100;83;4
28811;1;30;1;88;1;1700;2;2;0;1700;89;47;40
28901;2;46;3;82;1;1290;2;3;1;1623;100;100;25
28902;1;76;1;91;0;880;2;2;0;39740;90;95;21
28903;2;38;3;75;1;2000;2;2;2;2304;100;85;16
28906;2;67;3;48;0;1800;2;2;0;8073;97;47;28
28907;2;52;2;76;1;1123;2;5;0;1241;93;45;8
28908;2;54;2;74;1;1900;2;2;0;3650;93;83;3
29001;2;27;3;68;1;1700;2;2;1;3590;15;63;10
29003;1;69;2;63;0;1800;1;1;0;1800;97;83;60
29102;2;42;2;94;1;1345;2;2;1;1459;100;97;1
29105;2;30;3;74;1;1800;1;1;1;1890;96;77;10
29106;2;52;3;83;1;1700;2;2;0;4700;96;67;10
29110;1;68;1;71;0;1200;1;1;0;1200;97;63;7
30102;2;56;3;46;1;2400;1;3;0;2746;100;82;7
30202;2;63;1;74;0;1150;1;1;0;1150;-;-;10
30206;2;58;1;74;1;1850;1;1;0;1850;-;-;15
30209;1;42;1;76;1;1800;1;1;0;1800;-;-;0
30308;2;52;3;75;1;2350;1;1;0;2350;-;-;15
30312;1;67;1;70;0;1230;1;1;0;1230;85;62;15
30402;2;75;2;82;0;1308;2;2;0;1808;100;80;45
30404;2;41;3;84;1;1350;2;2;2;1607;100;77;12
30409;2;76;2;71;0;1400;1;1;0;1400;82;33;60
30412;1;92;1;67;0;1400;1;1;0;1400;85;68;70
30606;1;50;1;57;0;510;3;3;0;2660;-;-;15
30609;2;39;1;76;1;1400;-;3;0;4200;100;75;5
30611;2;72;1;67;0;1030;1;1;0;1030;97;68;5
30702;1;23;1;63;0;1310;2;2;0;1310;100;70;3
30707;1;50;2;55;0;1190;2;2;2;1471;93;62;0
30708;1;80;1;73;0;1900;1;1;0;1900;93;62;10
30904;1;69;3;88;0;671;2;2;0;671;100;75;25
30910;2;39;1;71;1;1500;1;3;0;1846;100;57;4
31002;2;28;3;75;1;1800;1;1;0;1800;100;77;8
31006;1;68;1;90;0;3900;2;2;0;3900;80;75;56
31007;2;37;2;51;0;1100;1;1;1;1206;90;63;20
31013;2;32;3;71;1;2400;1;1;0;2400;93;80;20
31112;1;64;1;89;0;1200;1;1;0;1200;97;63;14
31202;2;80;1;75;0;1500;1;1;0;1500;97;80;6
31203;2;55;3;77;1;1600;1;2;0;1718;100;83;25
31211;2;74;3;63;0;2600;1;1;0;2600;93;75;45
31214;1;77;3;94;0;3200;2;2;0;3200;100;82;30
31305;2;83;1;68;0;1198;1;1;0;1198;90;92;0
31311;2;32;3;79;1;2500;2;2;2;2804;100;93;14
31405;2;52;3;78;1;2000;2;3;0;8918;93;70;20
31411;2;20;1;54;0;1000;2;3;1;1090;-;-;14
31501;1;81;1;67;0;1220;2;2;0;1220;-;-;10
31507;1;39;3;65;1;2300;2;2;2;4557;-;-;0
31508;2;74;1;64;0;1100;1;2;0;2300;-;-;10
31512;2;54;1;70;1;1400;2;3;0;2500;-;-;10
31604;2;87;1;69;0;1140;1;1;0;1140;74;62;10
31605;1;34;2;77;0;950;3;2;0;2750;-;-;0
31606;2;38;2;62;1;1970;1;1;2;2299;97;73;15
31609;2;23;3;75;1;250;3;4;0;4805;93;80;50
31706;2;71;1;49;0;1200;1;1;0;1200;83;70;4
31801;2;87;1;68;0;1080;2;2;0;2230;-;-;15
31809;2;47;1;76;0;1152;1;1;1;1258;78;62;4
31903;1;64;1;64;0;750;2;2;0;1150;89;63;8
31909;1;36;1;54;1;400;2;2;1;3490;36;40;5
31913;1;46;1;65;1;1600;2;2;2;1904;-;-;0
32007;2;34;1;75;1;1300;2;2;1;3654;93;70;15
32103;2;75;1;57;0;988;2;2;0;2803;78;42;63
32205;1;65;3;80;0;1500;2;2;0;2650;100;98;20
32206;1;91;3;59;0;1400;1;1;0;4000;32;60;66
32208;2;59;1;64;0;987;1;2;0;987;93;70;30
32303;1;23;2;66;0;400;3;2;0;1900;100;75;73
32306;2;80;1;38;0;1500;1;1;0;1500;8;40;39
32308;2;77;2;71;0;1300;2;2;0;2800;86;67;27
32311;2;92;3;94;0;1350;1;1;0;1350;100;80;45
32402;1;45;3;62;1;1700;2;3;2;3704;68;42;14
32403;1;33;3;59;1;2000;3;2;0;6200;93;85;35
32406;2;81;1;73;0;1177;1;1;0;1177;15;52;56
32409;1;43;3;74;1;3750;2;2;2;6263;90;67;40
32504;2;88;1;39;0;1400;1;2;0;1400;65;42;35
32506;1;55;2;28;0;1100;1;1;0;1100;65;12;66
32606;1;62;1;65;1;1900;2;2;0;3902;65;57;50
32607;2;62;1;74;0;1150;1;1;0;1150;100;75;72
32608;1;81;3;85;0;1600;2;2;0;3650;97;83;35
32614;2;62;2;54;0;2027;1;1;0;2027;82;63;40
32616;1;55;1;55;1;4500;2;3;0;5796;93;73;31
32703;1;32;1;73;1;1800;2;2;2;3257;96;65;42
32707;2;58;2;61;1;1650;1;1;0;1650;45;62;28
32709;2;92;2;66;0;990;1;1;0;990;88;68;84
32710;1;85;3;64;0;1475;1;1;0;1475;100;87;84
32711;1;53;3;81;1;2500;-;3;0;2500;100;88;35
32712;1;65;3;78;0;1575;2;2;0;3572;100;87;70
32714;2;23;3;82;1;1800;1;1;0;1800;100;80;42
32715;2;73;3;71;0;1200;2;2;0;10700;90;80;84
